image_id,component_count,fp_component_pixels,boundary_excess_pixels,detached_far_fp_pixels,target_pixels
001137,0,0,0,0,9
000345,0,0,0,0,5
000774,0,0,3,0,13
000593,0,0,1,0,61
001002,0,0,4,0,51
001024,0,0,1,0,47
001285,0,0,3,0,21
000649,0,0,10,0,35
000282,0,0,2,0,58
000037,0,0,0,0,9
001150,0,0,0,0,9
001124,0,0,0,0,9
001185,0,0,0,0,18
000718,0,0,8,0,56
000968,0,0,2,0,49
001216,0,0,0,0,9
000494,0,0,10,0,127
001015,0,0,3,0,68
001186,0,0,0,0,18
000197,0,0,10,0,56
000811,0,0,1,0,34
000601,0,0,0,0,58
001040,0,0,0,0,66
000735,0,0,4,0,31
001029,0,0,1,0,78
000623,0,0,2,0,15
000436,0,0,0,0,58
001242,0,0,0,0,36
000813,0,0,8,0,36
000493,0,0,2,0,136
001053,0,0,0,0,44
000410,0,0,0,0,24
000936,0,0,5,0,34
000473,0,0,5,0,52
000478,0,0,9,0,139
000458,0,0,1,0,69
000709,0,0,3,0,52
001307,0,0,1,0,20
000781,0,0,10,0,28
001023,0,0,0,0,46
001004,0,0,3,0,75
000359,0,0,0,0,5
000287,0,0,7,0,72
000482,0,0,5,0,80
000941,0,0,1,0,61
000067,0,0,0,0,9
000284,0,0,2,0,80
000447,0,0,2,0,72
000894,0,0,5,0,63
000163,0,0,7,0,44
000059,0,0,0,0,36
001222,0,0,0,0,9
000945,0,0,0,0,39
000446,0,0,0,0,58
000193,0,0,7,0,56
000746,0,0,10,0,68
000733,0,0,10,0,61
000621,0,0,4,0,28
001131,0,0,0,0,36
000085,0,0,0,0,9
000064,0,0,0,0,9
000312,0,0,1,0,69
000213,0,0,8,0,63
001297,0,0,6,0,80
001039,0,0,1,0,38
000066,0,0,0,0,9
000002,0,0,0,0,9
000843,0,0,8,0,40
000659,0,0,8,0,38
000298,0,0,2,0,124
000227,0,0,5,0,70
000951,0,0,2,0,57
000299,0,0,1,0,83
000937,0,0,8,0,60
000547,0,0,0,0,65
000948,0,0,2,0,53
000859,0,0,3,0,46
000058,0,0,0,0,9
000422,0,0,0,0,12
001140,0,0,0,0,9
000873,0,0,7,0,78
001249,0,0,0,0,62
000822,0,0,4,0,38
000745,0,0,10,0,68
000609,0,0,8,0,14
000881,0,0,3,0,108
